Timestamp;RSSI
1693765218152;316
1693765218160;356
1693765218164;361
1693765218168;363
1693765218176;361
1693765218180;361
1693765218184;363
1693765218188;365
1693765218196;361
1693765218200;363
1693765218204;360
1693765218208;362
1693765218216;358
1693765218220;358
1693765218224;358
1693765218228;360
1693765218236;357
1693765218240;358
1693765218244;364
1693765218252;365
1693765218256;362
1693765218260;360
1693765218264;360
1693765218272;362
1693765218276;358
1693765218280;361
1693765218288;361
1693765218292;363
1693765218296;358
1693765218300;359
1693765218304;361
1693765218312;362
1693765218316;359
1693765218320;362
1693765218324;363
1693765218332;365
1693765218336;362
1693765218340;366
1693765218348;360
1693765218352;360
1693765218356;356
1693765218364;360
1693765218368;358
1693765218372;361
1693765218376;357
1693765218380;360
1693765218389;362
1693765218392;361
1693765218396;360
1693765218400;362
1693765218408;364
1693765218412;364
1693765218416;363
1693765218420;359
1693765218428;361
1693765218432;360
1693765218436;359
1693765218444;361
1693765218448;363
1693765218452;361
1693765218456;356
1693765218464;363
1693765218468;366
1693765218472;360
1693765218476;357
1693765218484;360
1693765218488;361
1693765218492;359
1693765218496;359
1693765218504;361
1693765218508;365
1693765218512;358
1693765218516;358
1693765218524;359
1693765218528;361
1693765218532;360
1693765218540;360
1693765218544;362
1693765218548;363
1693765218552;357
1693765218560;357
1693765218564;365
1693765218568;361
1693765218572;359
1693765218580;358
1693765218584;360
1693765218588;361
1693765218592;360
1693765218600;361
1693765218604;362
1693765218755;310
1693765218759;356
1693765218771;362
1693765218774;359
1693765218782;360
1693765218786;360
1693765218790;362
1693765218794;359
1693765218802;363
1693765218806;359
1693765218810;359
1693765218814;358
1693765218822;365
1693765218826;361
1693765218830;362
1693765218838;358
1693765218842;361
1693765218846;362
1693765218850;363
1693765218858;355
1693765218862;362
1693765218870;364
1693765218878;358
1693765218882;359
1693765218886;360
1693765218890;361
1693765218898;359
1693765218902;362
1693765218906;361
1693765218915;361
1693765218918;359
1693765218922;360
1693765218926;363
1693765218934;358
1693765218938;358
1693765218942;360
1693765218946;360
1693765218954;362
1693765218958;359
1693765218961;362
1693765218973;360
1693765218977;360
1693765218985;362
1693765218989;363
1693765218993;362
1693765218997;356
1693765219005;358
1693765219009;360
1693765219013;358
1693765219017;358
1693765219025;360
1693765219029;363
1693765219033;360
1693765219037;357
1693765219045;359
1693765219049;361
1693765219053;356
1693765219057;360
1693765219065;361
1693765219073;364
1693765219081;358
1693765219085;360
1693765219089;360
1693765219093;358
1693765219101;360
1693765219105;362
1693765219109;363
1693765219113;360
1693765219121;362
1693765219125;358
1693765219129;362
1693765219133;359
1693765219141;358
1693765219145;360
1693765219149;361
1693765219157;358
1693765219161;360
1693765219165;361
1693765219177;364
1693765219181;364
1693765219185;365
1693765219189;360
1693765219197;358
1693765219201;359
1693765219205;358
1693765219657;315
1693765219660;360
1693765219668;361
1693765219672;359
1693765219680;357
1693765219688;366
1693765219692;360
1693765219696;360
1693765219700;361
1693765219708;362
1693765219712;361
1693765219716;360
1693765219724;358
1693765219728;362
1693765219732;359
1693765219736;359
1693765219744;362
1693765219748;363
1693765219752;361
1693765219756;361
1693765219764;359
1693765219768;366
1693765219772;363
1693765219784;359
1693765219787;362
1693765219796;359
1693765219799;359
1693765219803;360
1693765219807;360
1693765219815;358
1693765219819;359
1693765219823;360
1693765219827;363
1693765219833;356
1693765219837;357
1693765219845;363
1693765219849;365
1693765219853;364
1693765219857;359
1693765219865;360
1693765219869;362
1693765219873;360
1693765219885;356
1693765219889;365
1693765219893;356
1693765219901;363
1693765219905;365
1693765219909;361
1693765219913;358
1693765219921;359
1693765219925;361
1693765219929;363
1693765219933;356
1693765219941;358
1693765219945;363
1693765219949;360
1693765219953;358
1693765219961;359
1693765219964;360
1693765219972;361
1693765219976;359
1693765219980;361
1693765219984;362
1693765219992;363
1693765219996;356
1693765220000;363
1693765220004;366
1693765220012;360
1693765220016;355
1693765220020;359
1693765220028;362
1693765220032;362
1693765220036;359
1693765220040;362
1693765220048;364
1693765220052;365
1693765220056;356
1693765220060;359
1693765220068;361
1693765220072;360
1693765220076;358
1693765220088;361
1693765220092;357
1693765220096;356
1693765220100;359
1693765220108;361
1693765220260;312
1693765220264;356
1693765220268;361
1693765220272;364
1693765220280;356
1693765220284;359
1693765220288;365
1693765220292;358
1693765220300;362
1693765220304;366
1693765220308;363
1693765220312;359
1693765220320;360
1693765220324;360
1693765220328;363
1693765220336;361
1693765220340;362
1693765220344;362
1693765220348;364
1693765220356;363
1693765220360;359
1693765220364;360
1693765220368;362
1693765220376;358
1693765220380;360
1693765220384;360
1693765220388;364
1693765220396;356
1693765220400;359
1693765220404;358
1693765220408;360
1693765220416;358
1693765220420;359
1693765220424;359
1693765220432;361
1693765220436;357
1693765220440;361
1693765220444;362
1693765220452;359
1693765220456;355
1693765220460;358
1693765220464;360
1693765220472;363
1693765220476;359
1693765220480;362
1693765220484;359
1693765220492;361
1693765220496;357
1693765220500;358
1693765220504;360
1693765220512;360
1693765220516;360
1693765220520;358
1693765220528;359
1693765220532;360
1693765220536;356
1693765220540;361
1693765220548;363
1693765220552;364
1693765220556;356
1693765220564;358
1693765220568;360
1693765220572;360
1693765220576;357
1693765220584;360
1693765220588;361
1693765220592;361
1693765220596;359
1693765220604;362
1693765220608;366
1693765220612;358
1693765220616;357
1693765220624;360
1693765220628;361
1693765220632;360
1693765220636;357
1693765220644;361
1693765220648;364
1693765220652;358
1693765220656;358
1693765220664;359
1693765220668;362
1693765220672;361
1693765220676;358
1693765220684;359
1693765220688;361
1693765220692;361
1693765220700;361
1693765220704;362
1693765220708;365
1693765220712;362
1693765220867;325
1693765220871;357
1693765220875;360
1693765220879;363
1693765220883;363
1693765220891;361
1693765220895;360
1693765220899;359
1693765220907;363
1693765220911;364
1693765220915;363
1693765220919;360
1693765220927;365
1693765220931;367
1693765220935;359
1693765220939;359
1693765220947;362
1693765220951;362
1693765220955;360
1693765220959;362
1693765220967;363
1693765220969;360
1693765220977;356
1693765220981;360
1693765220985;361
1693765220989;360
1693765220997;359
1693765221001;358
1693765221005;362
1693765221009;359
1693765221017;355
1693765221021;359
1693765221025;366
1693765221033;366
1693765221037;357
1693765221041;359
1693765221045;361
1693765221053;361
1693765221057;360
1693765221061;362
1693765221065;363
1693765221073;359
1693765221077;357
1693765221081;359
1693765221085;361
1693765221093;360
1693765221097;358
1693765221102;358
1693765221109;364
1693765221113;362
1693765221117;360
1693765221121;363
1693765221129;361
1693765221132;364
1693765221135;358
1693765221143;359
1693765221147;363
1693765221151;360
1693765221160;360
1693765221164;361
1693765221168;360
1693765221172;358
1693765221180;357
1693765221184;364
1693765221188;362
1693765221192;358
1693765221200;359
1693765221204;359
1693765221208;363
1693765221215;361
1693765221219;360
1693765221223;363
1693765221227;360
1693765221235;358
1693765221239;359
1693765221243;359
1693765221247;362
1693765221255;359
1693765221259;360
1693765221264;362
1693765221268;363
1693765221276;361
1693765221280;363
1693765221284;365
1693765221288;360
1693765221296;357
1693765221298;360
1693765221306;360
1693765221310;363
1693765221314;360
