Timestamp;RSSI
1693646427526;248
1693646427533;379
1693646427537;386
1693646427542;391
1693646427547;391
1693646427552;392
1693646427557;391
1693646427562;387
1693646427567;390
1693646427572;390
1693646427577;391
1693646427582;391
1693646427587;388
1693646427592;390
1693646427597;390
1693646427602;389
1693646427607;388
1693646427612;388
1693646427617;390
1693646427623;387
1693646427627;359
1693646427632;339
1693646427637;337
1693646427643;335
1693646427648;338
1693646427653;366
1693646427658;388
1693646427663;368
1693646427668;338
1693646427673;340
1693646427678;338
1693646427683;336
1693646427688;336
1693646427693;335
1693646427699;336
1693646427704;340
1693646427709;340
1693646427714;366
1693646427719;389
1693646427725;388
1693646427729;388
1693646427734;387
1693646427739;359
1693646427744;338
1693646427749;337
1693646427754;338
1693646427759;365
1693646427764;390
1693646427769;389
1693646427774;388
1693646427780;391
1693646427785;391
1693646427790;389
1693646427795;388
1693646427800;388
1693646427805;386
1693646427810;390
1693646427817;389
1693646427820;388
1693646427827;390
1693646427830;389
1693646427835;389
1693646427840;387
1693646427845;388
1693646427850;388
1693646427855;389
1693646427861;389
1693646427866;391
1693646427871;391
1693646427876;390
1693646427881;392
1693646427886;390
1693646427891;388
1693646427896;386
1693646427901;385
1693646427906;390
1693646427911;390
1693646427916;390
1693646427921;391
1693646427927;386
1693646427931;389
1693646427936;390
1693646427941;388
1693646427947;389
1693646427952;390
1693646427957;391
1693646427962;392
1693646427967;388
1693646427972;387
1693646428126;136
1693646428131;308
1693646428136;334
1693646428141;334
1693646428146;334
1693646428151;339
1693646428156;337
1693646428161;341
1693646428166;338
1693646428171;335
1693646428176;336
1693646428181;339
1693646428186;339
1693646428191;338
1693646428198;338
1693646428202;332
1693646428207;339
1693646428212;339
1693646428217;337
1693646428222;334
1693646428227;336
1693646428232;339
1693646428237;369
1693646428242;394
1693646428248;392
1693646428252;389
1693646428257;390
1693646428262;385
1693646428267;387
1693646428272;388
1693646428278;359
1693646428282;341
1693646428287;339
1693646428293;371
1693646428298;392
1693646428303;360
1693646428308;339
1693646428313;366
1693646428318;389
1693646428323;359
1693646428328;338
1693646428334;336
1693646428338;332
1693646428344;335
1693646428348;336
1693646428354;338
1693646428359;341
1693646428364;341
1693646428369;340
1693646428374;367
1693646428379;388
1693646428384;389
1693646428389;383
1693646428394;389
1693646428400;387
1693646428404;390
1693646428409;393
1693646428414;393
1693646428419;390
1693646428424;392
1693646428430;386
1693646428434;389
1693646428440;388
1693646428445;392
1693646428450;388
1693646428455;389
1693646428460;385
1693646428465;386
1693646428470;390
1693646428475;389
1693646428481;389
1693646428485;394
1693646428490;391
1693646428495;390
1693646428501;390
1693646428506;386
1693646428510;387
1693646428515;387
1693646428521;360
1693646428526;339
1693646428531;335
1693646428536;334
1693646428541;334
1693646428546;338
1693646428551;337
1693646428556;341
1693646428561;339
1693646428566;337
1693646428571;336
1693646428576;339
1693646429027;172
1693646429032;358
1693646429037;388
1693646429042;395
1693646429047;397
1693646429052;394
1693646429057;391
1693646429062;389
1693646429067;387
1693646429073;386
1693646429078;390
1693646429083;390
1693646429088;390
1693646429093;393
1693646429098;392
1693646429103;389
1693646429108;388
1693646429114;390
1693646429118;390
1693646429123;386
1693646429128;390
1693646429133;389
1693646429138;388
1693646429143;390
1693646429151;393
1693646429153;391
1693646429159;389
1693646429164;388
1693646429169;386
1693646429174;389
1693646429179;392
1693646429184;390
1693646429189;389
1693646429194;392
1693646429199;390
1693646429204;390
1693646429209;389
1693646429214;357
1693646429219;333
1693646429224;337
1693646429230;337
1693646429235;339
1693646429240;336
1693646429245;334
1693646429250;336
1693646429255;338
1693646429260;340
1693646429265;340
1693646429270;339
1693646429275;337
1693646429283;338
1693646429285;367
1693646429290;385
1693646429295;387
1693646429300;389
1693646429305;388
1693646429310;359
1693646429316;336
1693646429321;333
1693646429326;334
1693646429331;339
1693646429336;341
1693646429341;341
1693646429346;337
1693646429351;335
1693646429356;334
1693646429361;335
1693646429366;333
1693646429371;368
1693646429376;390
1693646429381;388
1693646429386;393
1693646429391;392
1693646429397;390
1693646429402;390
1693646429407;388
1693646429412;387
1693646429417;388
1693646429422;388
1693646429427;390
1693646429432;392
1693646429437;389
1693646429442;388
1693646429447;358
1693646429452;339
1693646429457;340
1693646429462;373
1693646429467;393
1693646429472;390
1693646429477;389
1693646429629;101
1693646429633;306
1693646429638;333
1693646429643;337
1693646429649;340
1693646429654;341
1693646429659;343
1693646429664;340
1693646429669;338
1693646429674;338
1693646429679;333
1693646429684;334
1693646429689;337
1693646429694;338
1693646429699;340
1693646429704;335
1693646429709;331
1693646429714;332
1693646429719;334
1693646429725;338
1693646429730;333
1693646429735;334
1693646429740;338
1693646429745;339
1693646429751;341
1693646429755;337
1693646429760;334
1693646429765;336
1693646429770;338
1693646429775;340
1693646429780;342
1693646429785;338
1693646429790;337
1693646429795;340
1693646429800;337
1693646429805;334
1693646429810;335
1693646429815;340
1693646429821;340
1693646429826;340
1693646429830;339
1693646429835;335
1693646429841;338
1693646429846;338
1693646429851;338
1693646429856;340
1693646429861;336
1693646429866;338
1693646429871;338
1693646429876;332
1693646429881;334
1693646429886;335
1693646429891;339
1693646429899;370
1693646429901;392
1693646429906;358
